13011230,155774
6695727,156032
4612577,152833
3449602,153077
2772060,157082
2315644,156703
2138430,155509
1847068,154785
2947505,156366
2721787,156084
2766373,155341
2266635,155589
2535503,154482
2335401,154995
2086359,155195
1835514,154343
2510515,150458
2291109,149436
2140106,147253
2037957,146026
2113872,136865
2054590,143829
1761201,144413
1803930,144499
2207301,144540
2156911,144299
2177412,144098
1937328,144782
1948487,144332
1884000,142613
1816831,142952
1878093,144174
2001757,144991
2184007,145142
1979304,146776
1957127,147430
1906929,147629
1898909,146963
1724541,146631
1765877,147131
