14085635,160199
7811252,159983
5232658,149876
3690229,149958
3326818,152915
2854754,152368
2356150,150580
1726074,150420
2976648,150984
3190642,150702
3033345,149067
2260699,149379
2076129,148971
2259538,148800
1906083,149037
2266889,150559
2392517,151148
2489278,152731
2501996,152567
2887235,152894
2227131,151171
2027135,149408
1849788,147233
1916053,147130
2607160,147330
2546653,146440
2079199,146466
2119717,147016
2313192,147512
1972097,146964
2214211,147498
1780581,148273
2298220,148825
2247161,150037
2675954,149450
2555175,148636
2103035,150784
2080752,150387
1807311,150540
1906774,150742
