1,116508,194636,15910,28073,15969
1,233016,391315,31563,156888,32134
1,349524,679140,47493,184625,48136
1,466032,756957,64023,212569,63688
1,582540,1270244,80398,240642,79655
1,699048,1340670,96164,368045,95073
1,815556,1514190,112211,396553,112709
1,932064,1626804,128082,424663,129206
1,1048572,2041398,145724,453656,144659
2,116508,186909,16170,28315,16122
2,233016,393836,32466,156661,32059
2,349524,680700,48628,185275,48881
2,466032,871120,64965,212917,64238
2,582540,935691,81852,241380,80292
2,699048,1493186,98594,368969,96510
2,815556,1976483,114951,398866,114172
2,932064,1656575,131435,528298,129474
2,1048572,2114280,148501,555992,146540
3,116508,393549,16569,128704,16164
3,233016,826035,32784,157319,32457
3,349524,710977,49293,185849,49421
3,466032,1310961,65846,213596,64977
3,582540,1181360,81890,342528,80316
3,699048,1794617,98463,371058,96440
3,815556,1346810,114843,396086,111201
3,932064,1718571,131655,523313,126788
3,1048572,1826590,147453,552878,144748
4,116508,180505,16434,28089,15959
4,233016,486745,32714,156624,32463
4,349524,662769,49190,184546,48933
4,466032,757275,65783,212527,64168
4,582540,1039340,82381,341411,80183
4,699048,1132878,99060,269239,96495
4,815556,1346899,116354,398484,112552
4,932064,1529221,132332,425384,128418
4,1048572,1791440,148976,455729,145408
5,116508,192369,16451,28369,16052
5,233016,476747,33175,56582,32296
5,349524,558247,49645,185309,49033
5,466032,766279,66334,213360,65050
5,582540,921509,82959,242187,81066
5,699048,1342834,99278,370647,97437
5,815556,1679689,115430,399497,113269
5,932064,2456914,132547,425879,128275
5,1048572,1704463,148714,455885,144457
6,116508,193189,16407,28127,15926
6,233016,392436,32920,157848,33237
6,349524,887086,48531,185151,49043
6,466032,1560068,64923,214471,66033
6,582540,1490705,81656,241829,81363
6,699048,1612510,98632,270492,97361
6,815556,2223348,115517,398689,113635
6,932064,1635815,132456,429322,129959
6,1048572,1869671,148995,457320,145979
7,116508,307742,16397,128491,16104
7,233016,497504,32845,159075,32411
7,349524,668834,49658,85574,49396
7,466032,778602,66125,214934,65733
7,582540,1076028,82750,243110,81644
7,699048,1133879,99258,371709,98039
7,815556,1443095,115992,401264,114984
7,932064,1607738,131991,428480,129100
7,1048572,1938290,148220,557517,145391
8,116508,194141,16312,28547,16016
8,233016,499587,32823,156044,31661
8,349524,578356,49363,184020,48250
8,466032,761216,66051,211932,64269
8,582540,1172768,82835,340296,80327
8,699048,1124162,97888,371038,97831
8,815556,1337324,115310,398037,112350
8,932064,2498469,132885,426002,128234
8,1048572,2081449,149657,454674,144488
9,116508,194788,16542,28284,15946
9,233016,388343,33317,157093,32114
9,349524,687167,49832,185517,48616
9,466032,1134373,66620,212195,64026
9,582540,2075544,83437,241088,80148
9,699048,1603616,100219,370468,97063
9,815556,1984543,116924,398975,113189
9,932064,2218344,134222,528055,129802
9,1048572,1790129,150578,556878,145385
10,116508,198238,16671,28464,16052
10,233016,480357,33667,157223,32254
10,349524,567671,50417,185670,48767
10,466032,780096,67261,213617,64570
10,582540,1046837,83788,140295,80074
10,699048,1242711,100682,371157,98578
10,815556,1349912,116512,400047,113854
10,932064,1567504,133255,426625,130055
10,1048572,2017450,151138,455826,145939
11,116508,207663,16779,28736,16498
11,233016,379765,33661,157136,32829
11,349524,557644,50575,185358,49149
11,466032,802022,67463,214667,64914
11,582540,1168845,84282,243107,81187
11,699048,1260795,100769,371347,97302
11,815556,1356860,118583,400487,115152
11,932064,1859831,135253,433012,130417
11,1048572,2266434,152271,459337,147313
12,116508,296874,16929,129159,16279
12,233016,378941,33607,57181,32732
12,349524,578453,50657,188651,50594
12,466032,861137,67298,214917,64975
12,582540,1360938,84146,344423,81145
12,699048,2061041,101227,268815,96995
12,815556,1669645,117973,397566,112453
12,932064,1852002,134595,531722,130392
12,1048572,1995085,150451,556739,146479
13,116508,188698,16924,28358,16170
13,233016,394557,33498,56689,32432
13,349524,668322,50073,185253,49356
13,466032,776963,67061,215214,66406
13,582540,954679,84023,343752,81183
13,699048,1234653,101578,271143,97527
13,815556,1583910,118334,403302,113658
13,932064,1527916,134917,427417,129774
13,1048572,1808891,151714,458528,146916
14,116508,199878,16834,28626,16194
14,233016,394684,33951,157985,32627
14,349524,569191,50649,186426,49967
14,466032,775694,67239,214864,65512
14,582540,1063449,84184,243982,81985
14,699048,1151833,100670,373241,97917
14,815556,1655159,117673,402077,114323
14,932064,2489736,134360,528027,129657
14,1048572,1814213,149732,557739,148175
15,116508,187547,16401,28579,16339
15,233016,388610,32881,57655,33323
15,349524,671582,49282,186323,50210
15,466032,767311,66065,214791,65645
15,582540,1718289,83062,243636,81893
15,699048,2013139,99784,274860,100545
15,815556,2201667,116955,402086,114986
15,932064,1747910,133924,430071,131072
15,1048572,1790749,149677,461964,151007
16,116508,392637,16849,28709,16284
16,233016,438523,33345,57598,32967
16,349524,555548,49725,186833,50288
16,466032,784085,66606,215684,65955
16,582540,1165732,83266,344559,83012
16,699048,1252110,99962,273107,99332
16,815556,1417753,116083,401586,113614
16,932064,1540078,132079,429154,129623
16,1048572,1704497,148317,450381,142459
17,116508,285550,16449,128502,15729
17,233016,386294,32910,55525,31649
17,349524,563892,49520,183810,48191
17,466032,778327,65490,212203,64548
17,582540,946657,81744,240024,80209
17,699048,1148061,91945,363609,93029
17,815556,1551283,109556,399777,113221
17,932064,1821170,126193,425930,128578
17,1048572,2593328,141505,560329,144580
18,116508,211621,15648,128659,15962
18,233016,365584,31460,56385,32076
18,349524,786673,46926,185998,47726
18,466032,975647,61781,212596,63526
18,582540,1024884,77083,140252,79433
18,699048,2393527,92678,268484,95394
18,815556,2286946,108233,406137,111419
18,932064,1536614,125000,423707,126917
18,1048572,1804682,141547,450905,142924
19,116508,193216,15763,27878,15785
19,233016,404763,31486,155934,31839
19,349524,1006520,147176,184353,47811
19,466032,1221065,63320,211466,63545
19,582540,1047800,79440,344019,80718
19,699048,1136761,95331,270603,96840
19,815556,1443350,111148,397737,112432
19,932064,1560840,127046,528377,128077
19,1048572,1933240,143708,555064,144123
20,116508,184688,15758,28254,15907
20,233016,390465,31699,56263,31975
20,349524,793234,47569,184711,48136
20,466032,754382,63701,220221,64074
20,582540,1175927,79549,341378,79921
