15776182,154588
8213005,147495
5147779,146953
4250112,145894
3238948,143955
2544913,143286
2317251,143062
2393036,142721
3443402,143491
3304188,143434
2777531,142995
2249640,143139
2742210,142362
2301226,144202
1822324,145112
1999828,144804
2448870,147480
2937429,147336
2590718,146478
2416983,146821
2341365,148183
1952103,149207
1960042,149456
3047715,148519
2181006,148863
2819717,146433
2353509,145394
2171937,145976
2207855,146326
2367815,146952
1722413,147580
2018676,148118
2368271,147984
1954902,148557
2381940,149272
1836760,149111
1901013,149930
1849500,149139
2639002,148640
2065763,150472
