1,116508,368112,15765,28106,15977
1,233016,504116,31632,56058,32187
1,349524,616998,47873,184835,47908
1,466032,789764,64418,212470,63748
1,582540,992023,80542,239312,79228
1,699048,1380509,96841,268428,96377
1,815556,1494212,113201,397027,112637
1,932064,1856656,129901,425164,128601
1,1048572,1888238,146646,558668,147873
2,116508,307846,16340,128830,16173
2,233016,610062,32646,156894,32348
2,349524,856858,49031,185200,48348
2,466032,1278413,65243,213475,64584
2,582540,1664771,81816,241260,81259
2,699048,1566012,98414,370696,97819
2,815556,2048545,113868,401779,116062
2,932064,1791012,130530,528291,129993
2,1048572,1879774,147182,455530,144641
3,116508,199716,16321,28407,15961
3,233016,406372,32749,156755,32098
3,349524,809831,49061,184528,48393
3,466032,1424577,65399,211942,63486
3,582540,1345253,82227,239847,79191
3,699048,1180891,99016,268457,95794
3,815556,1562942,114020,397696,114031
3,932064,1593678,131793,426178,128406
3,1048572,1962317,149367,555466,144618
4,116508,211988,16479,28197,16089
4,233016,413386,33174,56367,32101
4,349524,1099939,49829,184917,48233
4,466032,811657,66341,213163,64222
4,582540,1081177,83341,340964,80217
4,699048,1278934,99147,370899,97654
4,815556,1499003,115926,398394,114016
4,932064,1805725,133638,427671,129763
4,1048572,2201040,150671,455114,146075
5,116508,187827,16823,129135,16075
5,233016,412099,33456,157235,32302
5,349524,623291,50136,184508,48219
5,466032,1163962,67399,212758,64491
5,582540,994946,84273,341722,81352
5,699048,1926778,99853,371711,99109
5,815556,1796396,116814,400399,114293
5,932064,2065279,133547,428393,131514
5,1048572,1963595,150486,558018,146234
6,116508,218524,16826,128974,16159
6,233016,410796,33251,157400,32889
6,349524,604532,49828,185920,48811
6,466032,786046,66681,215518,66883
6,582540,985709,82397,344109,82419
6,699048,1740972,97945,272821,99927
6,815556,1478472,114833,401791,115458
6,932064,1581647,131448,428333,129162
6,1048572,1776207,147428,551225,143111
7,116508,228085,16415,27906,15766
7,233016,388545,32814,155917,31728
7,349524,585505,49204,184290,48156
7,466032,821156,65760,212289,64346
