13796485,154593
7009977,147722
5254998,146829
4091467,145951
2757991,143864
2450225,143361
2378717,143046
2101082,142563
2887766,143241
3367168,143178
2423525,143716
2281870,142747
2521494,142295
1961395,143969
2027706,145239
1800268,144844
3356562,147186
2505913,147306
2209097,146546
2193633,146833
2111393,148615
2369569,148149
2030657,149395
1784074,148648
2366051,148156
2256612,146459
1967386,145561
2196971,145994
2051220,146469
1915708,147320
1717481,147482
2530908,147977
2747404,147006
1940828,148284
2007194,148897
1943836,149090
2001362,149759
2460154,149173
1933681,148587
1972973,150663
