13091047,150389
7441506,149336
5299535,148182
3741145,147068
3430299,145258
2750734,145145
2438845,144524
1864753,144735
3183035,142971
2846414,143434
2710997,144696
2421950,144951
2793418,144276
2037839,147076
1920732,147934
1801554,142689
2341198,143581
2161537,143319
2340021,145626
2439986,145798
1998076,145551
2193365,144632
1803493,144023
2006148,144534
2394886,143597
2141082,145686
1964706,145995
2420880,145831
1921707,146383
1755566,147203
1734975,146927
1795256,146337
1972808,144041
2415317,144224
2021325,146089
2294070,147637
1944037,147670
2071965,147281
2246676,147731
1895819,147750
